id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,neighbourhood_area,neighbourhood_pop,pop_density
662910947722306385,8160481,71.55430761099366,0,1.0,1,1,9,1,1,4,1.0,2.0,1320.4675313807531,1,365,0,6,5.0,0,0.34,9.233781,65933,7140.411929
951892809616348203,465409014,100.0,0,2.0,1,0,1,1,1,4,1.0,1.0,1320.4675313807531,1,365,0,2,3.0,0,0.47,8.371719,81143,9692.513569
830928010729255968,102459392,71.55430761099366,0,2.0,1,1,2,2,1,7,1.0,3.0,1320.4675313807531,730,1125,0,15,4.67,0,1.52,4.104694,79318,19323.730344
927944857835442195,338474053,16.0,0,1.0,1,0,3,1,1,2,1.0,2.0,1235.0,1,365,254,5,5.0,0,0.91,9.432832,57153,6058.94391
917763629937265532,439064958,100.0,0,3.0,1,1,3,1,1,4,1.0,2.0,3180.0,2,365,362,10,2.7,1,1.61,9.432832,57153,6058.94391
50747388,30233658,71.55430761099366,0,1.0,0,1,3,2,1,2,1.0,1.0,3000.0,3,14,363,0,4.818525443935496,0,0.7332381191537447,9.432832,57153,6058.94391
2765999,6568419,22.0,0,2.0,1,1,6,1,1,4,1.0,2.0,1650.0,5,90,331,93,4.87,0,0.94,19.370227,88306,4558.852098
665678933772132867,88303477,67.0,0,1.0,1,0,2,2,1,3,1.0,1.0,907.0,2,2,42,11,4.82,0,0.69,4.104694,79318,19323.730344
581798299731275955,34741434,88.0,0,2.0,1,1,3,1,1,2,1.0,1.0,1100.0,4,365,48,7,5.0,0,0.35,9.432832,57153,6058.94391
664381977052291946,340312825,71.55430761099366,0,2.0,1,1,2,2,1,4,1.0,3.0,900.0,1,365,0,2,5.0,0,0.11,4.104694,79318,19323.730344
1537096,6804577,100.0,0,2.0,1,1,1,2,1,2,1.0,1.0,651.0,21,117,350,17,4.41,0,0.14,8.371719,81143,9692.513569
19283290,39120821,100.0,1,1.0,1,1,7,2,1,6,1.0,2.0,1200.0,2,100,45,52,4.88,0,0.67,9.784081,63068,6445.980977
1033199596003924812,6612267,25.0,0,2.0,1,1,4,3,2,2,1.0,1.0,1320.4675313807531,2,365,0,0,4.818525443935496,0,0.7332381191537447,9.860777,81326,8247.423099
32816116,39273785,75.0,0,4.0,1,1,1,1,1,6,1.0,2.0,1536.0,2,1125,2,34,4.85,0,0.6,8.371719,81143,9692.513569
1000707437804807089,410879033,57.0,0,1.0,0,0,5,3,2,2,1.5,1.0,1320.4675313807531,1,365,0,5,4.4,0,2.17,8.7,105360,12110.344828
581894275549751259,48497844,100.0,0,1.0,1,1,4,2,1,2,1.0,1.0,850.0,3,1125,20,9,5.0,0,0.43,9.860777,81326,8247.423099
596963902851452542,16631784,71.55430761099366,0,1.0,1,1,7,2,1,2,1.0,1.0,1264.0,5,365,282,1,5.0,0,0.18,9.784081,63068,6445.980977
929489808271692873,226814038,70.0,0,1.0,1,1,1,3,2,2,0.5,1.0,629.0,1,365,255,8,4.63,0,2.29,8.371719,81143,9692.513569
928219984775223944,420900326,75.0,0,1.0,1,1,7,1,1,3,1.5,3.0,1300.0,2,1125,0,3,5.0,0,0.6,9.784081,63068,6445.980977
779005227431006167,475441227,32.0,0,1.0,1,0,4,1,1,2,1.0,1.0,640.0,2,5,11,7,5.0,0,0.84,9.860777,81326,8247.423099
8947054,416658,94.0,1,1.0,1,1,3,1,1,2,1.0,1.0,1736.0,2,6,190,67,4.87,0,0.68,9.432832,57153,6058.94391
16458482,62358590,71.55430761099366,0,1.0,1,1,3,1,1,4,1.5,4.0,8000.0,2,1125,90,1,5.0,0,0.01,9.432832,57153,6058.94391
848257776097349958,349996473,50.0,0,1.0,1,1,8,1,1,2,1.0,1.0,1320.4675313807531,2,7,0,6,5.0,0,0.65,6.832786,55044,8055.864767
44462048,209039282,60.0,0,1.0,1,1,4,1,1,5,1.0,5.0,1350.0,2,14,13,9,4.89,0,0.46,9.860777,81326,8247.423099
1054418509695643897,136336026,71.55430761099366,0,1.0,1,1,2,1,1,2,1.0,1.0,890.0,5,365,20,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
865113399325441479,156791671,60.0,0,1.0,1,1,1,1,1,4,1.0,2.0,1500.0,2,1125,1,1,5.0,0,0.22,8.371719,81143,9692.513569
7853704,20944621,0.0,0,3.0,1,1,1,3,2,2,1.0,1.0,429.0,4,1124,153,31,4.84,0,0.31,8.371719,81143,9692.513569
866534403760295979,509394144,100.0,0,1.0,1,0,9,1,1,3,1.0,1.0,1320.4675313807531,3,365,0,2,5.0,0,0.26,9.233781,65933,7140.411929
958386891999495454,396975014,63.0,0,1.0,1,1,1,2,1,2,1.0,1.0,1129.0,1,365,0,7,5.0,0,2.84,8.371719,81143,9692.513569
990228490079821639,28960515,100.0,0,1.0,1,0,2,1,1,5,1.0,3.0,1600.0,1,365,152,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
14955033,4180762,100.0,0,1.0,1,1,2,2,1,3,1.0,1.0,905.0,3,75,15,25,4.96,1,0.31,4.104694,79318,19323.730344
43571893,3528661,80.0,0,2.0,1,1,1,1,1,3,1.0,1.0,900.0,4,1125,3,7,4.86,0,0.24,8.371719,81143,9692.513569
877522101397492430,144332315,29.0,0,1.0,1,1,3,1,1,2,1.0,1.0,1500.0,4,365,355,3,5.0,0,0.43,9.432832,57153,6058.94391
27130178,13988065,76.0,1,1.0,1,1,2,1,1,2,1.0,1.0,850.0,2,8,83,40,4.93,0,0.61,4.104694,79318,19323.730344
797482897874470884,2228087,88.0,0,4.0,1,1,2,1,1,2,1.5,1.0,1109.0,3,10,162,11,5.0,0,1.57,4.104694,79318,19323.730344
